"Parameter","lower_95","lower_90","median","upper_90","upper_95"
"Private credit by deposit money banks to GDP (%)",20.0224123946434,20.9971027070038,26.4184345768746,41.0886536107064,42.6731021258194
"Private credit by deposit money banks and other financial institutions to GDP (%)",20.5531012177299,21.7442431361507,27.9043903513311,37.3930612959082,38.9288850655829
"Pension fund assets to GDP (%)",0.809846575811133,0.833048817415875,1.02324036210396,1.21520742311473,1.25302550794704
"Domestic credit to private sector (% of GDP)",2.59234286718981,2.88005925560916,4.51684039652313,6.1037123136776,6.26900556875143
"Bank lending-deposit spread",0.25828128372864,0.26627156612609,0.314140741580684,0.371719172317092,0.390035233557031
"Credit to government and state owned enterprises to GDP (%)",2.11605622705405,2.23431047488091,2.95148940340676,4.00726050112145,4.19592873220559
"Bank deposits to GDP (%)",6.5801904167664,6.89101944635699,8.95496755238377,11.3960099929476,12.1316042870953
"Liquid liabilities in millions USD (2000 constant)",0.939895604241005,0.991427583952605,1.3313829859081,1.82806321595817,1.93360732483561
"Bank nonperforming loans to gross loans (%)",1.08086755975199,1.11297692408153,1.37628019315163,1.69467190815158,1.73903026844853
"Bank capital to total assets (%)",1.20313017485788,1.22281794043335,1.47776483831039,1.80029483088372,1.86837101985622
"Bank credit to bank deposits (%)",2.52874850980114,2.6418312620213,3.44616740158024,4.39856326344585,4.70537251278327
"Deposit money banks' assets to GDP (%)",20.5623036528299,21.7208076632393,28.57858083604,35.5675584179548,36.1016384657166
"Bank regulatory capital to risk-weighted assets (%)",1.36274386582335,1.44210856423643,1.7321431074436,2.09920663640887,2.16451166810849
"Provisions to nonperforming loans (%)",0.740219911078066,0.775064298931738,0.908518366774105,1.08105410554099,1.10081348740509
"Nonbank financial institutions assets to GDP (%)",0.141693654337525,0.153460646804324,0.230268923893685,0.316386952147432,0.33433041224651
"Deposit money bank assets to deposit money bank assets and central bank assets (%)",1.02687406621761,1.04783788059328,1.26500437477575,1.54380060046968,1.5904794428849
"Liquid liabilities to GDP (%)",1.3528437120616,1.430609002779,2.01695748346217,2.68870061989141,2.84634393370556
"Central bank assets to GDP (%)",0.999329937505966,1.05642497936105,1.30530308317104,1.60118660489429,1.66605700448892
"Mutual fund assets to GDP (%)",0.928217461894538,0.958989528935654,1.15359865833106,1.35829357291651,1.43955857645181
"Financial system deposits to GDP (%)",6.94730253203418,7.35147159205684,9.01892586103384,12.3246326159295,12.6657360291528
"Insurance company assets to GDP (%)",0.786003713270853,0.842318686313677,0.998649780538955,1.1737037989422,1.19082600080791
